text,href
 ,https://www.lidl.fr/q/query/parkside-batteries
 ,/p/parkside-chargeur-de-batterie-plgk-12-a3-2-4-a-12-v/p100362674
 ,/p/parkside-batterie-papk-12-b4-4-ah-12-v/p100362831
"
    Un système de batterie pour plus de 70 appareils
   
    Pleine puissance pour réaliser vos travaux
  ",https://www.lidl.fr/q/query/parkside-batteries
 ,https://www.lidl.fr/q/query/parkside-performance
 ,/p/parkside-performance-nettoyeur-haute-pression-phdp-180-c2-3-000-w/p100361328
 ,/p/parkside-performance-chargeur-de-batterie-smart-plgs-2012-a1-12-a-20-v/p100357970
 ,/p/parkside-performance-scie-circulaire-portative-sans-fil-pphksa-40-li-a1-40-v/p100363208
"
    Découvrez Parkside Performance
   
    Notre gamme pour les professionnels 
  ",https://www.lidl.fr/q/query/parkside-performance
 ,https://www.lidl.fr/q/brand/parkside
 ,/p/parkside-aspirateur-souffleur-de-feuilles-a-essence-pbls-26-a1/p100354637
 ,/p/parkside-perceuse-visseuse-a-percussions-3-en-1-sans-fil-psbsa-20-v/p100359628
"
    PARKSIDE - Vous pouvez le faire !
   
    Découvrez toute la gamme PARKSIDE
  ",https://www.lidl.fr/q/brand/parkside
 ,https://www.lidl-recettes.fr/recettes/pates-a-la-feta-et-aux-tomates-au-four
"
    Pâtes à la feta et tomates au four
   
    La recette de la semaine
  ",https://www.lidl-recettes.fr/recettes/pates-a-la-feta-et-aux-tomates-au-four
 ,"https://www.lidl-voyages.fr/serp.html?s_c.PRODUCT_TYPE=SKI&s_c.DEST=FRA&ref_c.PROVIDERS=LAG,VVF,VAC,MMV&flyx_medium=e-commerce&flyx_campaign=S4546"
"
    Réservez votre séjour au Ski 
   ","https://www.lidl-voyages.fr/serp.html?s_c.PRODUCT_TYPE=SKI&s_c.DEST=FRA&ref_c.PROVIDERS=LAG,VVF,VAC,MMV&flyx_medium=e-commerce&flyx_campaign=S4546"
 ,https://www.lidl-vins.fr/boutique-vins/foire-aux-spiritueux.html?&utm_source=lidl_fr_ecomm&utm_medium=banner_hp_s44&utm_campaign=foire_aux_spiritueux
"
    Une exclusivité en ligne dès le 1er Novembre
   ",https://www.lidl-vins.fr/boutique-vins/foire-aux-spiritueux.html?&utm_source=lidl_fr_ecomm&utm_medium=banner_hp_s44&utm_campaign=foire_aux_spiritueux
 ,/c/inscription-a-la-newsletter/s10017563
"
    Abonnez-vous à la newsletter Lidl
   
    Découvrez en exclusivité les nouvelles offres !
  ",/c/inscription-a-la-newsletter/s10017563
 ,https://www.youtube.com/@lidlfrance
"
    Retrouvez nos tutos sur notre chaîne Youtube
   
    Laissez-vous guider par nos égéries 
  ",https://www.youtube.com/@lidlfrance
 mode,https://www.lidl.fr/h/mode/h10018877
 multimédia,https://www.lidl.fr/h/multimedia/h10018903
 bricolage,https://www.lidl.fr/h/bricolage/h10018559
 jardin,https://www.lidl.fr/h/jardin-terrasse/h10018567
 cuisine ,https://www.lidl.fr/h/cuisine-salle-de-bain/h10018655
 lidl-recettes.fr,https://www.lidl-recettes.fr/
Moyens de paiement sécurisés,https://service-client.lidl.fr/SelfServiceFR/s/global-search/%40uri#q=moyens%20de%20paiement&tab=allContent&numberOfResults=12
Retours sous 30 jours,https://www.lidl.fr/c/conditions-generales-de-vente/s10016727#10085650
Tarifs et délais de livraison,https://www.lidl.fr/c/conditions-generales-de-vente/s10016727#10085651
Livraison en lockers,https://www.lidl.fr/c/conditions-generales-de-vente/s10016727#10085651
Aide et service,https://service-client.lidl.fr/SelfServiceFR/s/
Accès à la carte Lidl Plus ?,https://service-client.lidl.fr/SelfServiceFR/s/article/Comment-puis-je-acc%C3%A9der-%C3%A0-la-carte-Lidl-Plus
Comment faire valoir la garantie ?,https://service-client.lidl.fr/SelfServiceFR/s/article/Mon-article-non-alimentaire-est-defectueux-comment-faire-valoir-la-garanti
Supermarchés et heures d'ouvertures,/c/supermarches-et-horaires/s10019824
Alerte à la fraude,https://www.lidl.fr/c/alerte-a-la-fraude/s10017540
,https://www.dpd.com/fr/fr/
,https://gls-group.com/FR/fr/home
,https://www.mondialrelay.fr/
,https://www.relaiscolis.com/
Newsletter Lidl,https://www.lidl.fr/c/inscription-a-la-newsletter/s10017563
,https://www.visa.fr/
,https://www.mastercard.fr/
,https://www.apple.com/fr/apple-pay/
,https://pay.google.com/intl/fr_fr/about/
,https://www.paypal.com/fr/home
,https://play.google.com/store/apps/details?id=de.sec.mobile&pli=1
,https://apps.apple.com/fr/app/lidl/id398474140
,https://fr-fr.facebook.com/lidlfrance
,https://www.instagram.com/lidlfrance/
,https://www.youtube.com/lidlfrance
,https://www.pinterest.fr/lidlfrance/
,https://twitter.com/lidlfrance
,
,
,https://corporate.lidl.fr/espace-presse/communiques-de-presse/cp-meilleure-enseigne-eco-responsable
,https://corporate.lidl.fr/decouvrir-lidl
,https://emplois.lidl.fr
,https://emplois.lidl.fr/
,https://emplois.lidl.fr/
Informations Clients,/c/informations-clients/s10017545
Mentions légales,/c/mentions-legales/s10007952
Protection des données,/c/protection-des-donnees/s10017503
Cookies - modifier mon consentement,https://www.lidl.fr/c/informations-sur-les-cookies/s10017534?hidebanner=true
Conditions générales de vente,/c/conditions-generales-de-vente/s10016727
Compliance,https://corporate.lidl.fr/decouvrir-lidl/compliance
Droit de rétractation,https://www.lidl.fr/c/conditions-generales-de-vente/s10016727#10085650
Manger - Bouger,https://www.mangerbouger.fr/
